,,,培養1day,,,培養2day,,,培養4day,,,培養6day,,,培養9day,,
,,,継代後の細胞数カウント,,,継代後の細胞数カウント,,,継代後の細胞数カウント,,,継代後の細胞数カウント,,,継代後の細胞数カウント,,
,,継代前の細胞数カウント,(x 10^4/ml),,,(x 10^4/ml),,,(x 10^4/ml),,,(x 10^4/ml),,,(x 10^4/ml),,
,,(x 10^4/ml),1x10^3/mlで播種well,1x10^4/mlで播種well,1x10^5/mlで播種well,1x10^3/mlで播種well,1x10^4/mlで播種well,1x10^5/mlで播種well,1x10^3/mlで播種well,1x10^4/mlで播種well,1x10^5/mlで播種well,1x10^3/mlで播種well,1x10^4/mlで播種well,1x10^5/mlで播種well,1x10^3/mlで播種well,1x10^4/mlで播種well,1x10^5/mlで播種well
,1班,82,,,,1,1,22,,,,,,,,,
,2班,134.5,,,,0,3,35,,,,,,,,,
,3班,203,,,,10,14,19,,,,,,,,,
,4班,156,,,,0,2,21,,,,,,,,,
,5班,65,,,,0,4,44,,,,,,,,,
,6班,139,4,0,27,,,,,,,,,,,,
,7班,43,0,2,5,,,,,,,,,,,,
,8班,70,,,,,,,,,,,,,117.5,,
,9班,151,0,2,18,,,,,,,,,,,,
,10班,151,0.5,2,11,,,,,,,,,,,,
,11班,323,,,,,,,0.5,0.5,11.5,,,,,,
,12班,276,,,,,,,,10,25,,,,,,
,13班,275,,,,,,,,,,21.5,130,129,,,
,14班,90,,,,,,,,,,5.5,4.5,71.5,,,
,15班,109,,,,,,,,,,99,141,226,,,
,16班,148,,,,,,,,5,309,,,,,,
,17班,,,,,,,,,,,,,,123,,
,18班,82,,,,,,,,,,,,,196,,
,19班,213,,,,,,,0,26,66,,,,,,
,20班,61,,,,,,,,,,,,,97,183,
,average,145.8684211,1.125,1.5,15.25,2.2,4.8,28.2,0.25,10.375,102.875,42,91.83333333,142.1666667,133.375,183,#DIV/0!
,stdev,,,,,,,,,,,,,,,,
